"Jason Praet",Detroit,Horz,6,1,0,16.8,0,0,0,11.4,0,32.9,0,0,0,0,2,0,0,1,0,0,5.5,0,So,6-7,,-0.590891,-0.385791,13.3,2008,1,all,,0.00000000,,,,,,,,,,,100.724,98.5024,0.196087,2.50101,-16.0308,-14.6352,-1.39557,-25.2281,2.0000,-23.7287,-1.49938,0.1429,0.1429,0.2857,0.0000,0.2857,0.0000,0.0000,,5.70546
"DeAndrae Ross","South Alabama",SB,22,8.4,62,14.1,32.6,33.4,0,5.4,6.6,32.1,1,2,0.5,3,12,0.25,3,11,0.273,0,1.1,8.7,Fr,6-2,,-0.490631,55.1319,6.1,2008,2,all,,0.62496249,,,,,,,,,,,103.96,104.687,0.365511,15.0379,-8.20704,-6.19611,-2.01093,-10.8251,5.1250,-8.91292,-1.91216,0.0000,0.3333,0.3333,0.2083,0.0833,0.0000,0.7500,,6.20657
"Pooh Williams","Utah St.",WAC,28,24.3,93.1,13.8,45.2,46.2,1.4,6.6,14.3,22.9,7,13,0.538,16,39,0.41,8,23,0.348,0.6,1.7,21,Fr,6-4,,-0.0518614,83.4927,3.3,2008,3,all,,1.44990574,,,,,,,,,,,108.419,110.366,0.672348,48.4848,-3.0832,-0.977192,-2.10601,-2.61135,12.1379,-1.89802,-0.713339,0.1379,0.6897,0.8276,1.0000,0.3793,0.0690,2.4483,,4.26818
"Mohamed Tangara",Arizona,P10,6,1,15.8,18.4,0,0,9.7,0,0,47.7,0,1,0,0,1,0,0,1,0,7.1,0,50,Jr,6-9,,-0.560696,15.5068,14.3,2008,4,all,88.6,0.00000000,,,,,,,,,,,107.664,108.413,0.148523,1.81359,-12.2284,-12.8146,0.58623,-20.1364,2.3333,-18.3114,-1.82501,0.1667,0.0000,0.1667,0.0000,0.0000,0.1667,0.0000,,4.60267
"Jesus Verdejo","South Florida",BE,30,71.1,105.8,19,50.6,54.16,2.3,8.4,18.8,18.9,53,66,0.803,71,148,0.48,42,117,0.359,0.2,1.2,24.9,Jr,6-4,,2.39125,108.214,2.1,2008,5,all,,1.46294452,,,,,,,,,,,107.044,103.363,2.38475,127.005,1.1455,2.03723,-0.891732,1.69271,29.5000,2.17089,-0.478177,0.6000,2.2333,2.8333,2.6333,0.5667,0.0667,10.7000,,7.81267
"Daniel Dillon",Arizona,P10,29,29.3,106.8,10,44.2,50.87,2.8,7,15.6,22,13,15,0.867,4,17,0.235,10,26,0.385,0.3,1.4,34.9,Sr,6-3,,0.557956,96.8371,4.3,2008,6,all,54.2,2.71416341,,,,,,,,,,,106.34,99.359,1.26546,54.5354,2.04889,1.58234,0.466547,-0.00763667,14.3667,-1.24655,1.23891,0.2667,0.8000,1.0667,1.2667,0.4000,0.0333,2.0333,,4.08428
"Jawann McClellan",Arizona,P10,33,87,101.4,15.1,49.5,53.91,2.7,9.7,14.2,21.4,59,78,0.756,60,136,0.441,32,82,0.39,1.8,1.1,35.8,Sr,6-4,,1.88068,100.324,2.3,2008,7,all,97.0,1.48390452,,,,,,,,,,,105.237,97.7491,3.50454,171.696,4.15976,2.05622,2.10354,2.73427,35.0882,1.41793,1.31634,0.6765,2.9706,3.6471,2.7059,0.6471,0.6471,8.3824,,4.33815
"Mike Hornbuckle",Pepperdine,WCC,31,57.5,91.6,13.2,44.3,46.05,4.1,10.7,9,21,15,21,0.714,35,75,0.467,26,92,0.283,0.4,2.5,12.6,Jr,6-4,,-0.155735,82.8067,2.7,2008,8,all,,1.02635785,,,,,,,,,,,107.061,107.318,1.55223,129.639,-1.93638,-1.16483,-0.771548,-2.32884,23.2188,-1.71431,-0.614529,0.9688,2.2500,3.2188,1.2188,1.0625,0.0938,5.4688,,6.73908
"Anthony Brown",Pacific,BW,30,65,105.1,22,54.9,60.2,8.5,25.2,5.6,21.9,116,169,0.686,99,182,0.544,1,1,1,1.2,1.3,92.3,Jr,6-8,,1.86078,105.395,3.3,2008,9,all,,0.38094771,,,,,,,,,,,98.4147,100.786,2.34157,155.975,-1.95324,-1.44262,-0.510618,-0.174815,26.2581,0.328653,-0.503468,1.6129,5.5484,7.1613,0.7742,0.5806,0.2581,10.7419,,0.0766154
"Peyton Stovall","Ball St.",MAC,29,85.5,107.5,23,53.4,56.71,6.7,15.2,17,17.7,81,114,0.711,96,190,0.505,41,105,0.39,0.6,2.2,38.6,Sr,6-1,,3.47058,112.902,2.5,2008,10,all,,1.01588100,,,,,,,,,,,102.821,101.959,3.05785,174.493,4.16409,3.0889,1.07519,4.29667,35.6897,3.81818,0.478493,1.9655,3.8966,5.8621,2.2069,1.2414,0.1724,13.6552,,6.75628
"Nick Rodgers",Butler,Horz,4,0.4,0,18.5,0,0,0,22,0,59.5,0,0,0,0,0,0,0,1,0,0,11,0,So,6-1,,-0.44185,-0.132493,0,2008,11,all,,0.00000000,,,,,,,,,,,73.9155,74.794,0.270467,1.91708,-7.43631,-14.1187,6.68243,-8.93385,1.5000,-16.0951,7.16129,0.0000,0.2500,0.2500,0.0000,0.2500,0.0000,0.0000,,12.0291
"Jamont Gordon","Mississippi St.",SEC,34,85.7,100.6,29.6,48,52.19,4,14.8,29.7,22.7,138,199,0.693,133,277,0.48,60,188,0.319,1.8,1.9,42.8,Jr,6-4,,3.62846,115.27,3,2008,12,all,96.0,1.21740404,,,,,,,,,,,93.6406,89.0154,4.48799,236.529,4.91212,2.93562,1.9765,4.9141,34.6471,3.31415,1.59995,1.1765,5.4118,6.5882,4.9412,1.1176,0.6176,17.1765,,9.13445
"Dana Smith",Longwood,ind,11,22.3,80.8,22.6,40.2,43.1,8.3,7.1,9,24.9,14,22,0.636,23,60,0.383,8,27,0.296,2.2,1.8,25.3,Jr,6-5,,-0.258472,81.4926,4.8,2008,13,all,,0.37035555,,,,,,,,,,,111.916,112.742,1.10969,40.2849,-7.57956,-3.86771,-3.71184,-7.84823,23.8333,-4.22132,-3.62691,2.0833,1.5000,3.5833,0.8333,0.9167,0.4167,8.6667,,6.10378
"Jason Davis","Sacramento St.",BSky,19,35.6,102.5,19.9,56.3,54.77,9.1,16.6,6.8,14.7,41,84,0.488,49,87,0.563,0,0,0,0.9,3.4,96.6,Sr,6-5,,1.09011,100.889,5.3,2008,14,all,,0.57891249,,,,,,,,,,,108.03,107.443,1.30514,73.5997,-2.19293,-0.695346,-1.49759,-1.01666,19.4286,-0.30841,-0.708252,1.8095,2.5238,4.3333,0.5238,1.1429,0.1905,7.4286,,0
"Matt Beck",Fordham,A10,8,1,56.6,5.1,0,0,10.6,11.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,So,6-0,,-0.198587,43.1353,3.6,2008,15,all,,,,,,,,,,,,,109.66,102.434,0.0964596,1.08154,-10.7072,-5.12215,-5.58502,-12.5,1.3750,-8.02435,-4.47563,0.1250,0.1250,0.2500,0.0000,0.0000,0.0000,0.0000,,8.16399
"Dave Telander","Loyola Chicago",Horz,23,17.9,90.3,12.3,39.7,42.05,2.8,8.3,10.9,20.1,3,3,1,2,5,0.4,9,34,0.265,0.6,2.2,7.7,Sr,6-1,,-0.119137,80.9916,4.3,2008,16,all,,1.39999999,,,,,,,,,,,106.018,105.359,0.677039,31.312,-2.31172,-1.52155,-0.790176,-3.46771,9.8800,-3.48893,0.0212178,0.2800,0.6400,0.9200,0.5600,0.4800,0.0400,2.0400,,10.4947
