"DeAndrae Ross","South Alabama",SB,26,29.5,97.3,16.6,42.5,44.43,1.6,4.6,15.8,16.3,10,14,0.714,26,68,0.382,13,39,0.333,0.3,1.5,13.1,So,6-2,,0.258086,89.3938,2.5,2009,2,all,,1.82364629,,,,,,,,,,,108.321,108.527,0.893017,49.9644,-4.99514,-1.62336,-3.37178,-4.72315,14.5769,-2.78199,-1.94115,0.1923,0.6154,0.8077,1.1923,0.3462,0.0385,3.8846,,6.22026
"Pooh Williams","Utah St.",WAC,34,60.9,108.3,14.9,52.4,54.48,3.8,6.3,13.6,19.8,30,45,0.667,56,113,0.496,20,51,0.392,1,1.1,27.4,So,6-4,,1.33492,100.066,3.4,2009,3,all,,1.63162142,,,,,,,,,,,105.078,104.017,1.88003,111.929,0.593024,1.38549,-0.792469,-0.300196,24.5294,-0.0522628,-0.247934,0.6765,1.2647,1.9412,1.8235,0.4118,0.2353,5.9412,,3.94375
"Jesus Verdejo","South Florida",BE,27,72,96.2,21.8,45.7,47.98,2.1,8,14.7,15.9,45,67,0.672,67,157,0.427,50,154,0.325,0,0.9,21.5,Sr,6-4,,2.27407,104.107,1.7,2009,5,all,,1.08166191,,,,,,,,,,,107.556,102.154,2.76387,115.021,0.0031609,1.02477,-1.02161,0.665065,33.1852,1.54823,-0.883163,0.6296,2.3333,2.9630,1.9630,0.4815,0.0000,12.1852,,10.9268
"Mike Hornbuckle",Pepperdine,WCC,30,44.5,97.7,16,53.6,53.69,4.1,9.4,13.7,23.8,14,27,0.519,25,63,0.397,28,62,0.452,0.8,1.9,21.6,Sr,6-4,,0.552857,93.2086,2,2009,8,all,,0.94283022,,,,,,,,,,,108.858,106.556,1.21871,84.1698,-0.977798,-0.502574,-0.475224,-0.736233,17.9667,-0.342775,-0.393459,0.7000,1.4333,2.1333,1.1000,0.5667,0.1333,4.9333,,6.77427
"Anthony Brown",Pacific,BW,33,56.2,96.5,22,52.8,54.31,8.3,18.6,8.2,22.7,64,114,0.561,93,176,0.528,0,0,0,1.9,1.3,64.8,Sr,6-8,,1.06013,97.8554,3.8,2009,9,all,,0.49122908,,,,,,,,,,,101.052,100.724,1.99279,128.028,-1.83606,-1.94604,0.109983,-2.35318,22.9091,-1.68486,-0.668318,1.4242,3.3030,4.7273,0.8485,0.4545,0.3333,7.5758,,0
"Nick Rodgers",Butler,Horz,6,0.7,0,0,0,0,0,26.3,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Jr,6-1,,-0.478278,-7.62129,4.4,2009,11,all,,,,,,,,,,,,,92.7329,94.8147,0.163709,1.67346,-2.93202,-2.43017,-0.501854,2.78811,1.5000,-0.9568,3.74491,0.0000,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000,,0
"Dana Smith",Longwood,ind,27,77.8,104.8,23,53.4,56.3,6.8,14.5,12.1,17.1,94,143,0.657,138,247,0.559,14,51,0.275,2.2,3,48,Jr,6-5,,2.16006,104.276,4.7,2009,13,all,,0.77778251,,,,,,,,,,,101.209,107.432,2.0386,177.853,-0.484561,0.462757,-0.947318,0.194857,31.1111,1.10325,-0.908391,2.1481,3.8889,6.0370,1.8148,1.7778,0.7407,15.2593,,3.22107
"Matt Beck",Fordham,A10,19,10.4,131.9,3.3,90,90,2.6,3.2,3.3,30.1,0,0,0,0,0,0,3,5,0.6,0,1,0,Jr,6-0,,0.396135,102.806,1.4,2009,15,all,,1.00000000,,,,,,,,,,,118.504,114.772,0.24562,13.5667,-4.65771,-2.80333,-1.85438,-5.57766,6.1579,-3.49076,-2.0869,0.1579,0.1579,0.3158,0.1053,0.1053,0.0000,0.4737,,2.50384
"Justin Drummond",Wagner,NEC,30,82.8,99.7,20.5,48.8,53.07,2.9,13.9,25.5,23.9,76,109,0.697,82,187,0.439,25,58,0.431,2.6,3.1,44.5,Sr,6-6,,1.39939,96.4402,2.1,2009,18,all,,1.49394578,,,,,,,,,,,97.5982,104.375,2.51666,204.494,0.5677,-0.665147,1.23285,1.17026,33.2667,0.250984,0.919272,0.8000,3.9333,4.7333,4.1333,1.7333,0.8000,10.5000,,3.42016
"Jamal Smith",Wagner,NEC,30,80.4,92.5,23,43.5,45.29,6.4,12.6,11.9,14.5,64,120,0.533,128,281,0.456,12,55,0.218,0.3,2.3,35.7,Sr,6-5,,0.881212,92.162,2.4,2009,20,all,17.2,0.94545354,,,,,,,,,,,101.007,108.02,2.03664,172.97,-3.65881,-1.92592,-1.73289,-3.80561,32.3000,-1.89254,-1.91307,1.7333,3.4667,5.2000,1.7333,1.2333,0.1000,11.8667,,3.34007
